"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0008202","steroid metabolic process","37/196","327/18870",9.59134395178964e-28,2.15901152354785e-24,1.68807653551498e-24,"UGT2A3/CYP1A2/FGF23/NR0B2/NR1H4/BAAT/UGT1A4/SULT2A1/CYP2C9/APOA4/GC/UGT2B10/UGT1A1/CYP2B6/APOA2/PON1/AKR1D1/LIPC/NR1I2/ABCB11/APOB/CYP3A4/CYP2A6/APOA1/CYP2E1/SERPINA6/RDH16/UGT1A3/SHH/UGT2B4/ANGPTL3/CYP2C19/APOF/CYP2C8/AKR1C4/CYP8B1/UGT1A7",37
"BP","GO:0006805","xenobiotic metabolic process","26/196","125/18870",1.0134354802018e-26,1.14062163296712e-23,8.91823222577581e-24,"UGT1A9/HNF4A/CYP1A2/SLC22A7/ACSM2B/GLYAT/SULT2A1/CYP2C9/CYP4F2/UGT1A1/CYP2B6/NR1I2/ABCB11/CYP2C18/CYP3A4/SLCO1B3/SLC22A1/CYP2A6/CYP2E1/SLCO1B1/UGT1A6/UGT1A3/CYP2C19/CYP2C8/UGT1A7/AADAC",26
"BP","GO:0071466","cellular response to xenobiotic stimulus","27/196","192/18870",6.19772161434468e-23,4.65035711796329e-20,3.63599668041555e-20,"UGT1A9/HNF4A/CYP1A2/SLC22A7/ACSM2B/GLYAT/SULT2A1/CYP2C9/CYP4F2/UGT1A1/CYP2B6/NR1I2/ABCB11/CYP2C18/CYP3A4/SLCO1B3/SLC22A1/CYP2A6/CYP2E1/SLCO1B1/UGT1A6/UGT1A3/FGF21/CYP2C19/CYP2C8/UGT1A7/AADAC",27
"BP","GO:0007596","blood coagulation","27/196","224/18870",4.00280773297256e-21,2.25258005173031e-18,1.76123540250793e-18,"HNF4A/HRG/F11/PLG/F9/KNG1/CYP4F2/APOH/SERPIND1/SERPINA10/FGL1/F5/CPB2/PROC/FGA/F13B/VTN/F2/SERPINC1/FGG/FGB/SHH/FOXA2/SERPINA1/SERPINF2/C4BPB/KLKB1",27
"BP","GO:0050817","coagulation","27/196","229/18870",7.21680839086619e-21,3.24900713756796e-18,2.5403165535849e-18,"HNF4A/HRG/F11/PLG/F9/KNG1/CYP4F2/APOH/SERPIND1/SERPINA10/FGL1/F5/CPB2/PROC/FGA/F13B/VTN/F2/SERPINC1/FGG/FGB/SHH/FOXA2/SERPINA1/SERPINF2/C4BPB/KLKB1",27
"BP","GO:0007599","hemostasis","27/196","231/18870",9.09815530725351e-21,3.41332459943794e-18,2.66879222346103e-18,"HNF4A/HRG/F11/PLG/F9/KNG1/CYP4F2/APOH/SERPIND1/SERPINA10/FGL1/F5/CPB2/PROC/FGA/F13B/VTN/F2/SERPINC1/FGG/FGB/SHH/FOXA2/SERPINA1/SERPINF2/C4BPB/KLKB1",27
"BP","GO:0009410","response to xenobiotic stimulus","33/196","434/18870",2.45551172176506e-19,7.8962241224188e-17,6.17385804329502e-17,"UGT1A9/HNF4A/CYP1A2/SLC22A7/ABCG5/ACSM2B/GLYAT/SULT2A1/CYP2C9/CYP4F2/UGT1A1/CYP2B6/APOA2/NR1I2/ABCB11/CPB2/CYP2C18/CYP3A4/SLCO1B3/SLC22A1/CYP2A6/CYP2E1/SLCO1B1/CPS1/UGT1A6/UGT1A3/FGF21/ABCG8/CYP2C19/OTC/CYP2C8/UGT1A7/AADAC",33
"BP","GO:0030193","regulation of blood coagulation","16/196","68/18870",9.04840676815386e-18,2.54599545438929e-15,1.99064948899385e-15,"HRG/F11/PLG/KNG1/APOH/CPB2/PROC/FGA/VTN/F2/SERPINC1/FGG/FGB/FOXA2/SERPINF2/KLKB1",16
"BP","GO:0046394","carboxylic acid biosynthetic process","28/196","334/18870",1.2869208773339e-17,3.19554186055954e-15,2.49851340496881e-15,"CYP1A2/NR1H4/HAO1/BAAT/ACSM2B/AGXT/CYP2C9/APOA4/CYP4A11/AGXT2/APOC3/APOA5/ACSM2A/BHMT/AKR1D1/LIPC/ABCB11/CYP3A4/CYP2E1/CPS1/PKLR/CYP4A22/UPB1/OTC/ACSM5/CYP2C8/AKR1C4/CYP8B1",28
"BP","GO:1900046","regulation of hemostasis","16/196","70/18870",1.49969292330971e-17,3.19554186055954e-15,2.49851340496881e-15,"HRG/F11/PLG/KNG1/APOH/CPB2/PROC/FGA/VTN/F2/SERPINC1/FGG/FGB/FOXA2/SERPINF2/KLKB1",16
"BP","GO:0016053","organic acid biosynthetic process","28/196","337/18870",1.62747176566296e-17,3.19554186055954e-15,2.49851340496881e-15,"CYP1A2/NR1H4/HAO1/BAAT/ACSM2B/AGXT/CYP2C9/APOA4/CYP4A11/AGXT2/APOC3/APOA5/ACSM2A/BHMT/AKR1D1/LIPC/ABCB11/CYP3A4/CYP2E1/CPS1/PKLR/CYP4A22/UPB1/OTC/ACSM5/CYP2C8/AKR1C4/CYP8B1",28
"BP","GO:0042730","fibrinolysis","12/196","27/18870",1.70353186702419e-17,3.19554186055954e-15,2.49851340496881e-15,"HRG/F11/PLG/APOH/CPB2/FGA/VTN/F2/FGG/FGB/SERPINF2/KLKB1",12
"BP","GO:0050818","regulation of coagulation","16/196","73/18870",3.10255198077668e-17,5.37218808363716e-15,4.20037806628227e-15,"HRG/F11/PLG/KNG1/APOH/CPB2/PROC/FGA/VTN/F2/SERPINC1/FGG/FGB/FOXA2/SERPINF2/KLKB1",16
"BP","GO:0030195","negative regulation of blood coagulation","14/196","48/18870",3.76819636884163e-17,6.05872144733036e-15,4.73716114940091e-15,"HRG/F11/PLG/KNG1/APOH/CPB2/PROC/FGA/VTN/F2/FGG/FGB/SERPINF2/KLKB1",14
"BP","GO:1900047","negative regulation of hemostasis","14/196","49/18870",5.22793668583764e-17,7.84539031988035e-15,6.1341123780495e-15,"HRG/F11/PLG/KNG1/APOH/CPB2/PROC/FGA/VTN/F2/FGG/FGB/SERPINF2/KLKB1",14
"BP","GO:0050878","regulation of body fluid levels","28/196","365/18870",1.30320841120997e-16,1.76489425748082e-14,1.3799262075372e-14,"HNF4A/HRG/F11/PLG/F9/KNG1/CYP4A11/CYP4F2/APOH/SERPIND1/SERPINA10/FGL1/F5/CPB2/PROC/FGA/F13B/VTN/F2/SERPINC1/FGG/FGB/SHH/FOXA2/SERPINA1/SERPINF2/C4BPB/KLKB1",28
"BP","GO:0050819","negative regulation of coagulation","14/196","52/18870",1.33288326864389e-16,1.76489425748082e-14,1.3799262075372e-14,"HRG/F11/PLG/KNG1/APOH/CPB2/PROC/FGA/VTN/F2/FGG/FGB/SERPINF2/KLKB1",14
