"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","29/140","88/9521",2.55442055514736e-32,4.24033812154461e-30,3.11908194102203e-30,"735/3080/2160/5340/2158/3827/4153/81494/731/732/3053/722/5648/2153/10877/1361/5624/2243/2165/7448/2147/462/2266/2244/729/5265/5345/725/3818",29
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","22/140","68/9521",2.00388889717567e-24,1.6632277846558e-22,1.22342690564409e-22,"79799/54600/1544/54657/1559/7365/54658/1555/124/1562/1576/1548/8608/54578/54659/127/7363/130/126/1558/54577/54579",22
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","22/140","73/9521",1.20671632232118e-23,6.67716365017717e-22,4.91154713646514e-22,"79799/54600/1544/54657/1559/7365/54658/1555/124/1576/1548/1571/54578/54659/127/7363/130/1557/126/1558/54577/54579",22
"Organismal Systems","Digestive system","hsa04976","Bile secretion","22/140","90/9521",2.04526964256695e-21,8.48786901665286e-20,6.24345469836228e-20,"79799/54600/10864/8431/9971/64240/570/54657/6822/7365/54658/8647/1576/28234/6580/10599/54578/54659/7363/64241/54577/54579",22
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","21/140","79/9521",2.56223379342065e-21,8.50661619415655e-20,6.25724463235358e-20,"79799/54600/1544/54657/6822/1559/7365/54658/1555/124/1576/1548/1571/54578/54659/127/7363/130/126/54577/54579",21
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","19/140","71/9521",1.97849349245543e-19,5.47383199579336e-18,4.02640780920755e-18,"79799/54600/1544/54657/6822/1559/7365/54658/1562/1576/1548/1571/54578/54659/7363/1557/1558/54577/54579",19
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","15/140","64/9521",1.31044450263876e-14,3.10762553482907e-13,2.2858881549789e-13,"79799/54600/1544/54657/7365/54658/6718/1576/1571/54578/54659/7363/1109/54577/54579",15
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","15/140","81/9521",5.41517165046281e-13,1.12364811747103e-11,8.26526199281166e-12,"79799/54600/1807/54657/7365/54658/1576/1548/1571/54578/54659/7363/51733/54577/54579",15
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","12/140","51/9521",6.17496315064465e-12,1.13893764778557e-10,8.37772778333075e-11,"64240/4018/337/345/336/350/3990/8647/338/335/64241/27329",12
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","10/140","31/9521",1.16556156612932e-11,1.93483219977467e-10,1.42321201758948e-10,"79799/54600/54657/7365/54658/54578/54659/7363/54577/54579",10
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","10/140","36/9521",6.27522213778741e-11,9.469880680661e-10,6.96579682280707e-10,"79799/54600/54657/7365/54658/54578/54659/7363/54577/54579",10
"Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","10/140","46/9521",8.88105941484327e-10,1.22854655238665e-08,9.0368674747528e-09,"79799/54600/54657/7365/54658/54578/54659/7363/54577/54579",10
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","9/140","43/9521",9.1580455562733e-09,1.16941197103182e-07,8.60188894354416e-08,"84647/2168/64240/337/346606/338/335/4547/64241",9
"Human Diseases","Endocrine and metabolic disease","hsa04950","Maturity onset diabetes of the young","7/140","26/9521",6.6609462506348e-08,7.8979791257527e-07,5.80954710581682e-07,"6514/3172/6928/3175/5313/3170/6927",7
"Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","7/140","30/9521",1.96265860775018e-07,2.17200885924353e-06,1.59767297192295e-06,"84647/1544/1559/1576/1571/1557/1558",7
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","12/140","154/9521",2.5633595915686e-06,2.65948557625242e-05,1.95624810935498e-05,"79799/54600/54657/7365/54658/3242/54578/54659/7363/4143/54577/54579",12
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","14/140","217/9521",3.46114358683589e-06,3.23122297605491e-05,2.3768032036929e-05,"79799/54600/1544/54657/7365/54658/1555/84699/1576/54578/54659/7363/54577/54579",14
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","8/140","63/9521",3.50373575716798e-06,3.23122297605491e-05,2.3768032036929e-05,"84647/4051/1559/8529/1555/1571/1557/1558",8
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","7/140","47/9521",4.9221073911038e-06,4.30036751012226e-05,3.16323799095867e-05,"134526/124/5105/127/5313/130/126",7
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","6/140","37/9521",1.45044232081055e-05,0.000120386712627276,8.85533206389598e-05,"124/6898/3242/127/130/126",6
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","7/140","67/9521",5.32868669170589e-05,0.000421219995630085,0.00030983842417939,"229/124/5105/127/5313/130/126",7
"Metabolism","Lipid metabolism","hsa00120","Primary bile acid biosynthesis","4/140","17/9521",9.18551686459881e-05,0.000693088999783365,0.000509818160905962,"570/6718/1109/1582",4
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","7/140","76/9521",0.000120013628753226,0.000866185320566762,0.000637143292236806,"2168/345/116519/336/335/5105/1582",7
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","11/140","238/9521",0.000751681300628837,0.00507699092561945,0.00373450188568077,"735/4153/731/732/5648/2243/2165/2147/2266/2244/729",11
